country,year,gender,avg_hourly_earnings_usd
Switzerland,2021,M,58.85018899066676
Switzerland,2021,F,50.04491093045419
Switzerland,2020,A,53.061970715983364
Switzerland,2020,M,55.82387699932017
Switzerland,2020,F,49.39126236512188
Switzerland,2019,A,46.61826775272106
Switzerland,2019,M,49.64061416360084
Switzerland,2019,F,42.72376810451749
Switzerland,2018,A,47.15416670217388
Switzerland,2018,M,51.12359071812656
Switzerland,2018,F,41.99681287122805
Switzerland,2017,A,46.0194815636028
Switzerland,2017,M,49.01534321234226
Switzerland,2017,F,41.84897133620506
Switzerland,2016,A,44.888963841966955
Switzerland,2016,M,48.10764124178848
Switzerland,2016,F,41.02249167381563
Switzerland,2015,A,48.69171775929135
Switzerland,2015,M,53.130360262387946
Switzerland,2015,F,42.148919719221546
Switzerland,2014,A,50.23552990502219
Switzerland,2014,M,53.24267595170147
Switzerland,2014,F,45.80030784706448
Switzerland,2013,A,48.079436212948366
Switzerland,2013,M,51.99030699207858
Switzerland,2013,F,42.927875393542365
"Bosnia and Herzegovina",2023,A,5.489526472662604
"Bosnia and Herzegovina",2023,M,5.686666708465556
"Bosnia and Herzegovina",2023,F,5.183682742351481
"Bosnia and Herzegovina",2022,A,4.780406405886892
"Bosnia and Herzegovina",2022,M,4.938169677485634
"Bosnia and Herzegovina",2022,F,4.4451594537395644
"Bosnia and Herzegovina",2021,A,5.076783233947168
"Bosnia and Herzegovina",2021,M,5.192691526959661
"Bosnia and Herzegovina",2021,F,4.831863971320772
"Bosnia and Herzegovina",2020,A,5.202962635845047
"Bosnia and Herzegovina",2020,M,5.346626529521366
"Bosnia and Herzegovina",2020,F,4.8496271135600475
"Bosnia and Herzegovina",2016,A,2.8740198575057883
"Bosnia and Herzegovina",2016,M,3.023894950107763
"Bosnia and Herzegovina",2016,F,2.6562767984425424
"Bosnia and Herzegovina",2015,A,3.228443606858146
"Bosnia and Herzegovina",2015,M,3.180243775491119
"Bosnia and Herzegovina",2015,F,3.2067064280063495
"Bosnia and Herzegovina",2014,A,3.473142734135486
"Bosnia and Herzegovina",2014,M,3.629162817895479
"Bosnia and Herzegovina",2014,F,3.2786829195940466
"Bosnia and Herzegovina",2013,A,3.6522827937766036
"Bosnia and Herzegovina",2013,M,3.836707234726289
"Bosnia and Herzegovina",2013,F,3.4112864384251735
Mexico,2023,A,4.144068218142632
Mexico,2023,M,4.308025260834342
Mexico,2023,F,3.958713232844333
Mexico,2022,A,3.2659540376651672
Mexico,2022,M,3.371034935051062
Mexico,2022,F,3.1519300851825993
Mexico,2021,A,3.2738257952414025
Mexico,2021,M,3.4037232050623873
Mexico,2021,F,3.1298698682815655
Mexico,2020,A,3.1594016614997766
Mexico,2020,M,3.199195740714817
Mexico,2020,F,3.1326395614428777
Mexico,2019,A,2.903657842324662
Mexico,2019,M,3.0274662619893498
Mexico,2019,F,2.7630647731736357
Mexico,2018,A,2.8055865771800406
Mexico,2018,M,2.897908086402881
Mexico,2018,F,2.698368914499106
Mexico,2017,A,2.7766158766668583
Mexico,2017,M,2.860801115894714
Mexico,2017,F,2.6822156920933633
Mexico,2016,A,2.7336855551690977
Mexico,2016,M,2.826912867735541
Mexico,2016,F,2.625991935480275
